image,tier,backend,execution_providers,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source
006592.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,12,2,59.0,0.12475109100341797,68.0,2032.0,nvml
006593.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,33,6,59.0,0.12475109100341797,68.0,2055.0,nvml
006594.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,57,12,59.0,0.12475109100341797,68.0,2032.0,nvml
006595.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,69,14,52.0,0.12475109100341797,68.0,1942.0,nvml
006596.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,2,3,52.0,0.12475109100341797,68.0,2002.0,nvml
006597.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,2,3,True,True,43,11,52.0,0.12475109100341797,68.0,2010.0,nvml
006598.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,87,14,52.0,0.12475109100341797,68.0,2047.0,nvml
006599.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,24,5,52.0,0.12475109100341797,69.0,2055.0,nvml
006600.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,1,True,False,24,4,59.0,0.12475109100341797,69.0,2017.0,nvml
006601.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,11,4,59.0,0.12475109100341797,69.0,2047.0,nvml
006602.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,92,13,59.0,0.12475109100341797,69.0,2002.0,nvml
006603.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,14,1,True,True,23,4,59.0,0.12475109100341797,69.0,2017.0,nvml
006604.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,19,1,True,True,40,5,59.0,0.12475109100341797,69.0,2055.0,nvml
006605.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,6,46,1,True,True,62,9,59.0,0.12475109100341797,69.0,2032.0,nvml
006606.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,5,2,53.0,0.12475109100341797,69.0,1950.0,nvml
006607.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,10,2,53.0,0.12475109100341797,69.0,2010.0,nvml
006608.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,4,92,4,True,True,125,18,53.0,0.12475109100341797,69.0,2055.0,nvml
006609.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,7,0,False,True,24,1,53.0,0.12475109100341797,69.0,2040.0,nvml
006610.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,28,4,53.0,0.12475109100341797,69.0,2055.0,nvml
006611.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,1,1,True,True,52,9,59.0,0.12475109100341797,69.0,2025.0,nvml
006612.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,0,1,True,True,70,12,59.0,0.12475109100341797,69.0,1935.0,nvml
006613.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,5,67,2,True,True,82,9,59.0,0.12475109100341797,69.0,2002.0,nvml
006614.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,16,6,59.0,0.12475109100341797,69.0,2002.0,nvml
006615.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,0,2,59.0,0.12475109100341797,69.0,2017.0,nvml
006616.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,23,7,59.0,0.12475109100341797,69.0,2047.0,nvml
006617.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,7,1,True,True,30,7,53.0,0.12475109100341797,69.0,2040.0,nvml
006618.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,32,5,53.0,0.12475109100341797,69.0,1980.0,nvml
006619.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,20,6,53.0,0.12475109100341797,69.0,2025.0,nvml
