run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,35.549,0.2498,14.0,65.0,,0.0,0.03271484375,58.0,210.0,nvml,0.006,33.6,1.151,0.775,35.691,onnx,CPUExecutionProvider,{},False,39,True,006008.png,,,,0.252512,0.289095,0.325679,8.1,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
1,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,33.935,0.2498,14.0,65.0,,0.0,0.03271484375,58.0,210.0,nvml,0.004,31.965,1.126,0.816,34.064,onnx,CPUExecutionProvider,{},False,10,True,006029.png,,,,0.241004,0.27592,0.310836,8.1,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
2,5,threshold,idle,0.0,process_steady_v3,0,,MEDIUM,236.818,0.3505,30.7,65.2,,0.0,0.03271484375,57.0,210.0,nvml,0.144,231.507,3.301,1.963,237.272,onnx,CPUExecutionProvider,{},False,120,True,006589.png,,,,2.273779,2.715343,3.156907,11.444,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
3,5,threshold,idle,0.0,process_steady_v3,0,,MEDIUM,229.368,0.3925,37.5,65.7,,0.0,0.03271484375,57.0,210.0,nvml,0.006,224.616,2.53,2.198,229.753,onnx,CPUExecutionProvider,{},False,42,True,007407.png,,,,2.437796,2.944058,3.450319,12.814,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
4,5,threshold,idle,0.0,process_steady_v3,0,,MEDIUM,223.179,0.4117,40.7,65.7,,0.0,0.03271484375,57.0,210.0,nvml,0.005,219.044,2.572,1.544,223.454,onnx,CPUExecutionProvider,{},False,36,False,007373.png,,,,2.478212,3.006345,3.534477,13.454,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
5,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,34.065,0.3721,34.1,65.7,,0.0,0.03271484375,57.0,210.0,nvml,0.145,31.628,1.657,0.755,34.328,onnx,CPUExecutionProvider,{},False,19,True,006498.png,,,,0.346731,0.416537,0.486343,12.134,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
6,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,36.089,0.3721,34.1,65.7,,0.0,0.03271484375,57.0,210.0,nvml,0.019,33.47,1.43,1.159,36.299,onnx,CPUExecutionProvider,{},False,17,False,006550.png,,,,0.366641,0.440456,0.51427,12.134,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
7,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,47.346,0.4645,49.5,65.7,,0.0,0.03271484375,57.0,210.0,nvml,0.005,45.137,1.251,0.939,47.492,onnx,CPUExecutionProvider,{},False,23,True,006536.png,,,,0.589398,0.722542,0.855685,15.214,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
8,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,33.3,0.4645,49.5,65.7,,0.0,0.03271484375,57.0,210.0,nvml,0.007,31.484,1.098,0.703,33.45,onnx,CPUExecutionProvider,{},False,1,False,007409.png,,,,0.41513,0.508907,0.602684,15.214,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
9,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,33.749,0.4183,41.8,65.7,,0.0,0.03271484375,57.0,210.0,nvml,0.004,31.768,1.086,0.878,33.868,onnx,CPUExecutionProvider,{},False,30,False,007283.png,,,,0.381205,0.463115,0.545026,13.674,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
10,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,34.269,0.4183,41.8,65.7,,0.0,0.03271484375,57.0,210.0,nvml,0.006,31.98,1.519,0.754,34.425,onnx,CPUExecutionProvider,{},False,20,False,006085.png,,,,0.387475,0.470733,0.553991,13.674,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
11,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,42.188,0.3859,36.4,65.7,,0.0,0.03271484375,58.0,210.0,nvml,0.004,40.124,1.083,0.968,42.352,onnx,CPUExecutionProvider,{},False,21,True,007098.png,,,,0.442389,0.533382,0.624376,12.594,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
12,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,51.318,0.3859,36.4,65.7,,0.0,0.03271484375,58.0,210.0,nvml,0.009,48.377,1.966,0.954,51.481,onnx,CPUExecutionProvider,{},False,21,True,007226.png,,,,0.537747,0.648354,0.758962,12.594,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
13,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,33.472,0.4213,42.3,65.7,,0.0,0.03271484375,58.0,210.0,nvml,0.004,31.091,1.263,1.099,33.622,onnx,CPUExecutionProvider,{},False,31,False,006245.png,,,,0.380955,0.463111,0.545266,13.774,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
14,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,47.572,0.4213,42.3,65.7,,0.0,0.03271484375,58.0,210.0,nvml,0.005,45.636,1.074,0.846,47.719,onnx,CPUExecutionProvider,{},False,0,False,006782.png,,,,0.540678,0.657279,0.77388,13.774,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
