status,simulated,backend,dataset,tier,image,n_gt,n_predictions,tp50,vru_tp,vru_gt,person_tp,person_gt,cyclist_tp,cyclist_gt
passed,False,tensorrt,kitti,MEDIUM,006527.png,9,12,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006528.png,12,21,3,2,10,2,7,0,3
passed,False,tensorrt,kitti,MEDIUM,006529.png,2,2,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006530.png,7,8,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006531.png,5,7,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006532.png,8,11,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006533.png,4,4,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006534.png,5,6,4,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006535.png,9,18,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006536.png,7,8,4,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006537.png,2,5,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006538.png,6,10,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006539.png,5,17,4,4,5,4,4,0,1
passed,False,tensorrt,kitti,MEDIUM,006540.png,4,3,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006541.png,1,3,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006542.png,5,12,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006543.png,6,11,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006544.png,4,2,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006545.png,4,2,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006546.png,2,6,2,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006547.png,2,1,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006548.png,4,5,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006549.png,14,17,10,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006550.png,2,3,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006551.png,3,5,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006552.png,4,13,4,4,4,4,4,0,0
passed,False,tensorrt,kitti,MEDIUM,006553.png,2,6,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006554.png,2,7,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006555.png,2,4,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006556.png,4,3,2,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006557.png,6,10,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006558.png,2,2,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006559.png,15,19,9,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006560.png,4,7,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006561.png,3,4,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006562.png,15,11,9,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006563.png,2,5,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006564.png,11,14,7,1,2,1,1,0,1
passed,False,tensorrt,kitti,MEDIUM,006565.png,4,4,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006566.png,1,2,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006567.png,8,9,8,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006568.png,10,13,7,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006569.png,5,9,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006570.png,7,12,7,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006571.png,6,16,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006572.png,3,4,3,1,1,1,1,0,0
