run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
128,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,124.171,0.5647,50.0,75.9,,,,,,none,0.003,122.697,0.717,0.751,124.183,onnx,CPUExecutionProvider,{},False,20,True,006185.png,,,,1.569493,1.927079,2.284665,15.518,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
129,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,128.513,0.1898,0.0,75.9,,,,,,none,0.002,127.028,0.703,0.777,128.525,onnx,CPUExecutionProvider,{},False,26,False,006742.png,,,,0.660427,0.709202,0.757978,5.518,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
130,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,126.999,0.1898,0.0,75.9,,,,,,none,0.003,125.484,0.725,0.783,127.013,onnx,CPUExecutionProvider,{},False,26,False,007449.png,,,,0.652655,0.700857,0.749058,5.518,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
131,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,123.907,0.1898,0.0,75.9,,,,,,none,0.004,122.358,0.735,0.807,123.922,onnx,CPUExecutionProvider,{},False,40,False,006764.png,,,,0.636773,0.683802,0.73083,5.518,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
132,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,126.929,0.1898,0.0,75.9,,,,,,none,0.003,125.404,0.763,0.756,126.941,onnx,CPUExecutionProvider,{},False,24,False,006854.png,,,,0.652284,0.700458,0.748632,5.518,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
133,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,125.784,0.1898,0.0,75.9,,,,,,none,0.003,124.246,0.773,0.759,125.797,onnx,CPUExecutionProvider,{},False,21,False,006938.png,,,,0.646405,0.694145,0.741885,5.518,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
134,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,125.467,0.1898,0.0,75.9,,,,,,none,0.003,123.705,0.744,1.013,125.48,onnx,CPUExecutionProvider,{},False,91,False,006342.png,,,,0.644777,0.692396,0.740016,5.518,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
135,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,132.048,0.575,51.5,75.5,,,,,,none,0.004,130.501,0.751,0.788,132.062,onnx,CPUExecutionProvider,{},False,23,True,006476.png,,,,1.697993,2.087907,2.477821,15.81,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
136,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,127.587,0.189,0.0,75.6,,,,,,none,0.003,125.949,0.756,0.874,127.601,onnx,CPUExecutionProvider,{},False,43,False,006576.png,,,,0.655103,0.703336,0.75157,5.512,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
137,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,182.251,0.1888,0.0,75.5,,,,,,none,0.004,180.34,0.732,1.172,182.268,onnx,CPUExecutionProvider,{},False,69,True,006652.png,,,,0.935492,1.004299,1.073105,5.51,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
