21:49:52  INFO     [RAMS] Starting resource monitor ...
21:49:52  INFO     [RAMS] Loading model tiers ...
[0;93m2026-09-08 21:49:53.006609326 [W:onnxruntime:Default, device_discovery.cc:164 DiscoverDevicesForPlatform] GPU device discovery failed: device_discovery.cc:89 ReadFileContents Failed to open file: "/sys/class/drm/card0/device/vendor"[m
22:04:14  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.578)
22:04:16  INFO     [RAMS] Tier switch: MEDIUM → SMALL  (R=0.634)
22:04:17  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.597)
22:04:21  INFO     [RAMS] Tier switch: MEDIUM → SMALL  (R=0.631)
22:04:22  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.611)
22:04:24  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.685)
22:04:24  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.616)
22:04:24  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.614)
22:04:25  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
22:04:25  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.604)
22:04:26  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.686)
22:04:26  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.601)
22:04:27  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.610)
[safety2, conf=0.40] 500/1500
22:04:33  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.723)
22:04:33  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.650)
22:04:36  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.639)
22:04:36  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.595)
22:04:38  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.625)
22:04:39  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.589)
22:04:41  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
22:04:42  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.605)
22:04:43  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.627)
22:04:43  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.638)
22:04:44  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.601)
22:04:44  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.634)
22:04:46  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.625)
22:04:46  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.604)
22:04:47  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.619)
22:04:47  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.657)
22:04:49  INFO     [RAMS] Tier switch: MEDIUM → SMALL  (R=0.631)
22:04:50  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.638)
22:04:51  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.678)
[safety2, conf=0.40] 600/1500
22:04:57  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.669)
22:04:57  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.688)
22:04:59  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.629)
22:04:59  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.587)
22:05:02  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.637)
22:05:02  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.639)
22:05:02  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.611)
22:05:04  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.636)
22:05:04  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.636)
22:05:06  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.632)
22:05:06  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.615)
22:05:09  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.626)
22:05:09  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.615)
22:05:09  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.631)
22:05:09  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.582)
22:05:10  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.620)
22:05:10  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.601)
22:05:12  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
22:05:12  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.656)
22:05:13  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.721)
22:05:13  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.654)
22:05:16  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.709)
22:05:16  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.662)
22:05:19  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.685)
22:05:19  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.635)
22:05:21  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.625)
22:05:21  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.597)
22:05:22  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.716)
22:05:22  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.602)
22:05:24  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.619)
[safety2, conf=0.40] 700/1500
22:05:25  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.606)
22:05:25  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.649)
22:05:26  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.628)
22:05:27  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.597)
