run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
46,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.869,0.5935,52.4,80.2,,,,,,none,0.037,17.223,0.289,0.353,17.913,onnx,CPUExecutionProvider,{},False,6,False,006946.png,,,,0.234001,0.288117,0.342233,16.084,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
47,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.861,0.5935,52.4,80.2,,,,,,none,0.042,17.261,0.29,0.306,17.909,onnx,CPUExecutionProvider,{},False,5,True,006617.png,,,,0.233949,0.288053,0.342157,16.084,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
48,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.902,0.5635,48.4,80.2,,,,,,none,0.037,17.155,0.341,0.402,17.946,onnx,CPUExecutionProvider,{},False,11,True,006434.png,,,,0.223658,0.274283,0.324909,15.284,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
49,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.96,0.5635,48.4,80.2,,,,,,none,0.037,17.364,0.286,0.307,18.004,onnx,CPUExecutionProvider,{},False,13,False,007063.png,,,,0.224386,0.275176,0.325965,15.284,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
50,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.866,0.5635,48.4,80.2,,,,,,none,0.041,17.252,0.311,0.299,17.914,onnx,CPUExecutionProvider,{},False,15,False,006080.png,,,,0.223258,0.273792,0.324326,15.284,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
51,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.251,0.5635,48.4,80.2,,,,,,none,0.035,17.507,0.363,0.377,18.292,onnx,CPUExecutionProvider,{},False,2,False,006280.png,,,,0.227975,0.279577,0.33118,15.284,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
52,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.185,0.5867,51.5,80.2,,,,,,none,0.037,17.387,0.295,0.498,18.229,onnx,CPUExecutionProvider,{},False,12,False,006829.png,,,,0.235666,0.289916,0.344166,15.904,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
53,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.887,0.5867,51.5,80.2,,,,,,none,0.034,17.274,0.275,0.335,17.927,onnx,CPUExecutionProvider,{},False,31,True,006122.png,,,,0.231766,0.285118,0.33847,15.904,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
54,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.746,0.5867,51.5,80.2,,,,,,none,0.042,17.107,0.299,0.336,17.795,onnx,CPUExecutionProvider,{},False,20,True,007161.png,,,,0.230053,0.28301,0.335968,15.904,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
55,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.942,0.5867,51.5,80.2,,,,,,none,0.037,17.303,0.294,0.341,17.985,onnx,CPUExecutionProvider,{},False,19,True,006363.png,,,,0.232513,0.286037,0.339561,15.904,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
56,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.946,0.5867,51.5,80.2,,,,,,none,0.04,17.252,0.373,0.317,17.993,onnx,CPUExecutionProvider,{},False,13,False,007405.png,,,,0.232614,0.286161,0.339709,15.904,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
57,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.952,0.5867,51.5,80.2,,,,,,none,0.033,17.325,0.299,0.325,17.992,onnx,CPUExecutionProvider,{},False,8,False,007158.png,,,,0.232601,0.286145,0.33969,15.904,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
